Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
HOLLAND VILLAGE,HOLLAND AVENUE,Shop House,"12,700,000.00","1,503.73","8,446",Mar-23,Land,139.7,"90,909",Freehold,10,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"5,200,000.00","1,190.50","4,368",Mar-23,Land,110.6,"47,016",999 yrs lease commencing from 1876,08,-
SERANGOON GARDEN ESTATE,LICHFIELD ROAD,Shop House,"3,800,000.00","2,107.59","1,803",Mar-23,Land,195.8,"19,408",999 yrs lease commencing from 1953,19,-
N.A.,OUTRAM ROAD,Shop House,"9,000,000.00","1,530.64","5,880",Mar-23,Land,142.2,"63,291",Freehold,03,-
KAMPONG GLAM CONSERVATION AREA,BALI LANE,Shop House,"6,450,000.00",663.06,"9,728",Mar-23,Land,61.6,"104,708",999 yrs lease commencing from 1833,07,-
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"5,400,000.00","1,992.42","2,710",Mar-23,Land,185.1,"29,173",Freehold,19,-
N.A.,LORONG 25A GEYLANG,Shop House,"3,390,000.00","1,731.93","1,957",Mar-23,Land,160.9,"21,069",Freehold,14,-
N.A.,EAST COAST ROAD,Shop House,"6,800,000.00","2,379.92","2,857",Mar-23,Land,221.1,"30,755",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,SERANGOON ROAD,Shop House,"8,000,000.00","1,016.12","7,873",Mar-23,Land,94.4,"84,746",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,RACE COURSE ROAD,Shop House,"7,500,000.00","1,143.14","6,561",Mar-23,Land,106.2,"70,621",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,RACE COURSE ROAD,Shop House,"7,500,000.00","1,170.05","6,410",Mar-23,Land,108.7,"68,997",Freehold,08,-
HOLLAND VILLAGE,LORONG LIPUT,Shop House,"11,600,000.00","1,713.63","6,769",Mar-23,Land,159.2,"72,864",Freehold,10,-
N.A.,JOO CHIAT ROAD,Shop House,"5,500,000.00",912.79,"6,026",Mar-23,Land,84.8,"64,858",Freehold,15,-
N.A.,CEYLON ROAD,Shop House,"4,136,500.00","1,404.70","2,945",Mar-23,Land,130.5,"31,697",Freehold,15,-
KAMPONG GLAM CONSERVATION AREA,NORTH BRIDGE ROAD,Shop House,"8,280,000.00","1,506.96","5,495",Mar-23,Land,140,"59,143",Freehold,07,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"3,000,000.00",917.09,"3,271",Feb-23,Land,85.2,"35,211",999 yrs lease commencing from 1877,08,-
LITTLE INDIA CONSERVATION AREA,UPPER DICKSON ROAD,Shop House,"3,200,000.00",988.14,"3,238",Feb-23,Land,91.8,"34,858",999 yrs lease commencing from 1877,08,-
N.A.,BALESTIER ROAD,Shop House,"5,300,000.00","1,651.20","3,210",Feb-23,Land,153.4,"34,550",Freehold,12,-
TANJONG PAGAR CONSERVATION AREA,DUXTON ROAD,Shop House,"8,600,000.00","1,475.74","5,828",Feb-23,Land,137.1,"62,728",99 yrs lease commencing from 2000,02,-
