ID,Month Year,Project Name,Street Name,Planning Area,Type of Sale,Price,$psm,Area,Tenure,Contract Date,Property Type,Type Of Area,Floor Level,Region,Postal Sector,Postal District,,,,,,,,,
50708,2022-12,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$615,000 ","$3,868 ",159,30 yrs from 29/09/2014,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
50709,2022-12,WEST STAR,TUAS BAY CLOSE,Tuas,Resale,"$500,000 ","$2,451 ",204,30 yrs from 07/08/2013,12/14/2022,Multiple-User Factory,Strata,First Floor,West Region,63,22,,,,,,,,,
50710,2022-12,WOODLANDS EAST INDUSTRIAL ESTATE,WOODLANDS LINK,Sembawang,Resale,"$185,000 ",$617 ,300,30 yrs from 01/05/1997,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
50711,2022-12,TUAS LOT,TUAS AVENUE 11,Tuas,Resale,"$480,000 ","$1,053 ",456,30 yrs from 15/02/2008,12/14/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,63,22,,,,,,,,,
50712,2022-12,EUNOS TECHNOLINK,KAKI BUKIT ROAD 1,Bedok,Resale,"$988,888 ","$3,818 ",259,60 yrs from 09/07/1996,12/13/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
50713,2022-12,ENTERPRISE CENTRE,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$1,930,000 ","$2,907 ",664,60 yrs from 13/03/1997,12/13/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50714,2022-12,,MANDAI ESTATE,Sungei Kadut,Resale,"$100,000,000 ","$16,518 ",6054,Freehold,12/13/2022,Single-User Factory,Land,-,North Region,72,25,,,,,,,,,
50715,2022-12,I-LOFTS @ CHANGI,CHANGI NORTH STREET 1,Changi,Resale,"$2,500,000 ","$1,840 ",1359,30 yrs from 01/04/2007,12/13/2022,Multiple-User Factory,Strata,First Floor,East Region,49,17,,,,,,,,,
50716,2022-12,NORDIX,WOODLANDS INDUSTRIAL PARK E2,Woodlands,Resale,"$2,800,000 ","$4,118 ",680,60 yrs from 25/09/2006,12/13/2022,Multiple-User Factory,Strata,-,North Region,75,27,,,,,,,,,
50717,2022-12,YI XIU FACTORY BUILDING,SIMS AVENUE,Geylang,Resale,"$1,539,000 ","$9,679 ",159,Freehold,12/13/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,38,14,,,,,,,,,
50718,2022-12,S9,SERANGOON NORTH AVENUE 4,Serangoon,Resale,"$1,150,000 ","$3,324 ",346,58 yrs from 02/07/2012,12/12/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,55,19,,,,,,,,,
50719,2022-12,,TUAS AVENUE 18,Tuas,Resale,"$4,000,000 ",$998 ,4007,17.79 yrs from 16/06/2014,12/12/2022,Single-User Factory,Land,-,West Region,63,22,,,,,,,,,
50720,2022-12,,GUL WAY,Pioneer,Resale,"$13,500,000 ",$967 ,13962,20.83 yrs from 01/01/2017,12/12/2022,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
50721,2022-12,TRADEHUB 21,BOON LAY WAY,Clementi,Resale,"$773,800 ","$5,732 ",135,60 yrs from 10/12/2003,12/12/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
50722,2022-12,ECO-TECH@SUNVIEW,SUNVIEW ROAD,Boon Lay,Resale,"$440,000 ","$2,126 ",207,30 yrs from 25/01/2013,12/12/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50723,2022-12,PIONEER JUNCTION,SOON LEE STREET,Jurong West,Resale,"$320,000 ","$3,137 ",102,30 yrs from 07/03/2011,12/12/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50724,2022-12,AMA BUILDING,KALLANG PUDDING ROAD,Geylang,Resale,"$1,221,200 ","$9,252 ",132,Freehold,12/12/2022,Warehouse,Strata,Non-First Floor,Central Region,34,13,,,,,,,,,
50725,2022-12,ISPACE,SOON LEE STREET,Jurong West,Resale,"$580,000 ","$3,412 ",170,30 yrs from 05/03/2012,12/12/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50726,2022-12,WEST STAR,TUAS BAY CLOSE,Tuas,Resale,"$490,000 ","$2,402 ",204,30 yrs from 07/08/2013,12/12/2022,Multiple-User Factory,Strata,First Floor,West Region,63,22,,,,,,,,,
50727,2022-12,EUNOS TECHPARK,KAKI BUKIT PLACE,Bedok,Resale,"$628,000 ","$5,106 ",123,60 yrs from 20/11/1995,12/12/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
50728,2022-12,TANNERY HOUSE,TANNERY LANE,Geylang,Resale,"$900,000 ","$8,654 ",104,Freehold,12/9/2022,Warehouse,Strata,Non-First Floor,Central Region,34,13,,,,,,,,,
50729,2022-12,WCEGA PLAZA,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$708,000 ","$3,161 ",224,60 yrs from 13/03/1997,12/9/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50730,2022-12,PREMIER @ KAKI BUKIT,KAKI BUKIT AVENUE 4,Bedok,Resale,"$900,000 ","$6,040 ",149,60 yrs from 15/12/2010,12/9/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
50731,2022-12,PIONEER CENTRE,SOON LEE STREET,Jurong West,Resale,"$340,000 ","$2,446 ",139,30 yrs from 10/03/2010,12/9/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
