Postal District,Floor Level,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
01,Level 2 & 3,>300,66.20,86.18,89.45,2024Q1
01,Level 4 & Above,>30 - 100,68.26,76.10,91.05,2024Q1
01,Level 4 & Above,>100 - 300,46.80,71.19,82.36,2024Q1
01,B1 & Below,30 & Below,78.77,236.41,365.89,2024Q2
01,B1 & Below,>30 - 100,125.00,170.73,205.19,2024Q2
01,B1 & Below,>100 - 300,127.09,188.67,462.79,2024Q2
01,Level 1,30 & Below,176.18,250.00,350.88,2024Q2
01,Level 1,>30 - 100,125.58,190.56,214.92,2024Q2
01,Level 1,>100 - 300,85.94,138.07,168.46,2024Q2
01,Level 1,>300,71.89,93.34,109.03,2024Q2
01,Level 2 & 3,30 & Below,78.33,132.35,179.08,2024Q2
01,Level 2 & 3,>30 - 100,68.20,96.89,159.12,2024Q2
01,Level 2 & 3,>100 - 300,80.99,113.20,132.19,2024Q2
01,Level 2 & 3,>300,69.09,97.61,121.60,2024Q2
01,Level 4 & Above,30 & Below,84.92,88.08,88.27,2024Q2
01,Level 4 & Above,>30 - 100,54.09,83.11,94.63,2024Q2
01,Level 4 & Above,>100 - 300,56.15,66.18,74.88,2024Q2
01,B1 & Below,30 & Below,100.91,259.33,399.83,2024Q3
01,B1 & Below,>30 - 100,96.51,118.32,207.81,2024Q3
01,B1 & Below,>100 - 300,143.38,411.69,501.91,2024Q3
01,B1 & Below,>300,87.23,88.69,143.52,2024Q3
01,Level 1,30 & Below,189.00,305.40,370.83,2024Q3
01,Level 1,>30 - 100,91.61,155.66,199.11,2024Q3
01,Level 1,>100 - 300,96.23,123.90,159.56,2024Q3
01,Level 1,>300,53.80,99.47,132.92,2024Q3
01,Level 2 & 3,30 & Below,83.43,116.47,168.89,2024Q3
01,Level 2 & 3,>30 - 100,83.77,102.35,162.37,2024Q3
01,Level 2 & 3,>100 - 300,62.79,81.81,113.06,2024Q3
01,Level 2 & 3,>300,50.59,99.85,118.39,2024Q3
01,Level 4 & Above,30 & Below,110.16,119.23,227.72,2024Q3
01,Level 4 & Above,>30 - 100,60.34,69.44,75.32,2024Q3
01,Level 4 & Above,>100 - 300,58.16,59.93,83.66,2024Q3
01,B1 & Below,30 & Below,107.64,176.26,349.41,2024Q4
01,B1 & Below,>30 - 100,67.00,95.94,120.71,2024Q4
01,B1 & Below,>100 - 300,135.15,221.83,328.66,2024Q4
01,Level 1,30 & Below,181.57,241.40,369.50,2024Q4
01,Level 1,>30 - 100,104.42,167.41,270.23,2024Q4
01,Level 1,>100 - 300,80.75,122.78,175.32,2024Q4
01,Level 1,>300,46.74,57.75,86.26,2024Q4
01,Level 2 & 3,30 & Below,85.37,139.48,219.17,2024Q4
01,Level 2 & 3,>30 - 100,82.27,109.52,199.54,2024Q4
01,Level 2 & 3,>100 - 300,70.13,83.00,113.77,2024Q4
01,Level 2 & 3,>300,81.65,91.49,103.55,2024Q4
01,Level 4 & Above,>30 - 100,82.82,90.33,110.93,2024Q4
01,Level 4 & Above,>300,77.50,100.11,128.09,2024Q4
01,B1 & Below,30 & Below,102.08,185.45,264.49,2025Q1
01,B1 & Below,>30 - 100,96.45,141.33,215.37,2025Q1
01,B1 & Below,>100 - 300,86.99,191.35,258.72,2025Q1
01,Level 1,30 & Below,105.00,181.56,280.58,2025Q1
01,Level 1,>30 - 100,88.29,147.06,188.89,2025Q1
01,Level 1,>100 - 300,89.95,108.18,155.49,2025Q1
01,Level 1,>300,106.88,130.82,226.09,2025Q1
01,Level 2 & 3,30 & Below,87.09,107.37,184.41,2025Q1
01,Level 2 & 3,>30 - 100,84.78,107.63,159.39,2025Q1
01,Level 2 & 3,>100 - 300,59.20,86.10,103.37,2025Q1
01,Level 2 & 3,>300,43.49,50.40,69.95,2025Q1
01,Level 4 & Above,>100 - 300,83.98,89.78,97.96,2025Q1
01,B1 & Below,30 & Below,229.00,394.14,469.77,2025Q2
01,B1 & Below,>30 - 100,78.08,123.41,209.92,2025Q2
01,B1 & Below,>100 - 300,210.54,341.10,492.51,2025Q2
01,B1 & Below,>300,80.32,86.12,98.40,2025Q2
01,Level 1,30 & Below,137.39,188.37,336.97,2025Q2
01,Level 1,>30 - 100,118.17,169.32,234.58,2025Q2
01,Level 1,>100 - 300,87.59,102.20,163.24,2025Q2
01,Level 1,>300,52.22,65.07,86.59,2025Q2
01,Level 2 & 3,30 & Below,93.69,136.20,233.33,2025Q2
01,Level 2 & 3,>30 - 100,84.96,97.56,144.10,2025Q2
01,Level 2 & 3,>100 - 300,76.96,119.30,194.26,2025Q2
01,Level 2 & 3,>300,82.76,95.67,96.53,2025Q2
01,Level 4 & Above,>30 - 100,65.73,84.38,88.45,2025Q2
01,Level 4 & Above,>100 - 300,52.73,63.87,75.47,2025Q2
01,Level 4 & Above,>300,92.63,113.93,118.41,2025Q2
02,Level 1,30 & Below,115.66,149.22,170.51,2021Q1
02,Level 1,>30 - 100,75.37,92.59,130.50,2021Q1
02,Level 1,>100 - 300,100.90,118.18,123.68,2021Q1
02,Level 2 & 3,30 & Below,62.50,75.33,80.75,2021Q1
02,Level 2 & 3,>30 - 100,64.38,66.74,76.42,2021Q1
02,Level 2 & 3,>100 - 300,61.18,64.56,69.96,2021Q1
02,B1 & Below,>30 - 100,111.11,111.89,125.92,2021Q2
02,Level 1,30 & Below,100.00,116.31,240.22,2021Q2
02,Level 1,>30 - 100,100.15,137.65,144.43,2021Q2
02,Level 1,>300,41.08,48.43,74.58,2021Q2
02,Level 2 & 3,30 & Below,64.31,67.69,71.87,2021Q2
02,Level 2 & 3,>30 - 100,59.21,64.59,75.36,2021Q2
02,Level 4 & Above,>30 - 100,70.78,77.26,93.60,2021Q2
02,Level 1,30 & Below,83.72,100.00,133.02,2021Q3
02,Level 1,>30 - 100,57.74,59.86,107.01,2021Q3
02,Level 2 & 3,30 & Below,55.13,61.90,65.10,2021Q3
02,Level 2 & 3,>30 - 100,69.48,69.97,81.49,2021Q3
02,Level 1,30 & Below,100.00,137.93,166.67,2021Q4
02,Level 1,>30 - 100,30.15,71.76,107.80,2021Q4
02,Level 1,>100 - 300,79.87,97.84,103.93,2021Q4
02,Level 2 & 3,30 & Below,69.78,75.33,87.64,2021Q4
02,Level 2 & 3,>30 - 100,67.27,75.33,96.85,2021Q4
02,Level 2 & 3,>100 - 300,96.04,118.63,123.79,2021Q4
02,Level 1,30 & Below,85.71,123.81,139.92,2022Q1
02,Level 1,>30 - 100,104.17,135.29,172.49,2022Q1
02,Level 1,>100 - 300,60.18,102.44,121.24,2022Q1
02,Level 2 & 3,30 & Below,53.82,57.04,66.67,2022Q1
02,Level 2 & 3,>30 - 100,50.32,64.59,69.96,2022Q1
02,B1 & Below,>30 - 100,140.48,144.07,178.52,2022Q2
02,Level 1,30 & Below,91.30,107.78,132.73,2022Q2
02,Level 1,>30 - 100,43.42,67.71,104.30,2022Q2
02,Level 1,>100 - 300,56.15,81.31,111.06,2022Q2
02,Level 2 & 3,30 & Below,66.67,67.83,75.33,2022Q2
02,Level 2 & 3,>30 - 100,59.21,69.27,71.07,2022Q2
02,Level 4 & Above,>30 - 100,85.37,100.76,106.72,2022Q2
02,Level 4 & Above,>100 - 300,51.02,52.43,79.84,2022Q2
02,B1 & Below,>30 - 100,203.82,239.41,265.85,2022Q3
02,B1 & Below,>100 - 300,158.26,183.27,223.57,2022Q3
02,Level 1,30 & Below,100.00,113.04,125.00,2022Q3
02,Level 1,>30 - 100,61.73,107.64,136.36,2022Q3
02,Level 1,>100 - 300,41.01,73.35,108.42,2022Q3
02,Level 2 & 3,30 & Below,65.08,69.96,75.35,2022Q3
02,Level 2 & 3,>30 - 100,64.62,69.96,74.80,2022Q3
02,Level 2 & 3,>100 - 300,49.33,64.56,64.57,2022Q3
02,B1 & Below,>30 - 100,200.00,263.60,265.34,2022Q4
02,Level 1,30 & Below,121.71,133.57,225.18,2022Q4
02,Level 1,>30 - 100,54.10,69.97,101.18,2022Q4
02,Level 1,>100 - 300,32.13,53.70,75.41,2022Q4
02,Level 2 & 3,30 & Below,70.83,75.33,84.50,2022Q4
02,Level 2 & 3,>30 - 100,71.53,82.88,83.95,2022Q4
02,Level 2 & 3,>100 - 300,56.74,86.76,123.88,2022Q4
02,Level 2 & 3,>300,59.93,94.18,123.78,2022Q4
02,Level 1,30 & Below,116.60,149.96,228.57,2023Q1
02,Level 1,>30 - 100,43.71,92.12,148.92,2023Q1
02,Level 1,>100 - 300,58.46,82.62,88.79,2023Q1
02,Level 2 & 3,30 & Below,72.18,79.12,88.82,2023Q1
02,Level 2 & 3,>30 - 100,80.72,80.73,83.16,2023Q1
02,B1 & Below,30 & Below,238.45,325.57,375.92,2023Q2
02,Level 1,30 & Below,118.41,145.55,281.16,2023Q2
02,Level 1,>30 - 100,93.11,99.71,139.97,2023Q2
02,Level 1,>100 - 300,133.95,151.43,177.50,2023Q2
02,Level 2 & 3,30 & Below,75.33,79.67,82.88,2023Q2
02,Level 2 & 3,>30 - 100,75.38,86.11,87.83,2023Q2
02,B1 & Below,>30 - 100,174.83,211.03,228.70,2023Q3
02,Level 1,30 & Below,129.19,129.19,168.13,2023Q3
02,Level 1,>30 - 100,87.98,129.21,184.90,2023Q3
02,Level 1,>100 - 300,39.16,55.14,100.28,2023Q3
02,Level 2 & 3,30 & Below,83.33,86.12,86.13,2023Q3
02,Level 2 & 3,>30 - 100,80.73,86.11,115.67,2023Q3
02,Level 2 & 3,>100 - 300,85.35,103.04,121.24,2023Q3
02,Level 1,30 & Below,134.56,135.42,172.21,2023Q4
02,Level 1,>30 - 100,30.02,85.95,125.22,2023Q4
02,Level 1,>100 - 300,57.78,89.40,220.77,2023Q4
02,Level 2 & 3,30 & Below,86.11,86.13,91.40,2023Q4
02,Level 2 & 3,>30 - 100,79.10,88.24,92.55,2023Q4
02,Level 4 & Above,>30 - 100,91.62,115.06,116.24,2023Q4
02,Level 1,30 & Below,143.18,176.46,231.03,2024Q1
02,Level 1,>30 - 100,119.68,142.68,172.69,2024Q1
02,Level 1,>100 - 300,70.59,92.70,105.93,2024Q1
02,Level 2 & 3,30 & Below,91.67,91.67,91.67,2024Q1
02,Level 2 & 3,>30 - 100,95.36,106.06,195.83,2024Q1
02,B1 & Below,>30 - 100,135.90,136.47,175.56,2024Q2
02,Level 1,30 & Below,98.51,139.93,170.61,2024Q2
02,Level 1,>30 - 100,72.53,116.36,166.67,2024Q2
02,Level 1,>100 - 300,45.91,104.99,145.56,2024Q2
02,Level 2 & 3,30 & Below,88.38,91.50,91.67,2024Q2
02,Level 2 & 3,>30 - 100,82.46,85.03,88.80,2024Q2
02,Level 1,30 & Below,123.17,139.19,139.93,2024Q3
02,Level 1,>30 - 100,65.71,139.67,141.63,2024Q3
02,Level 1,>100 - 300,37.81,42.10,106.51,2024Q3
02,Level 1,>300,59.57,65.32,85.54,2024Q3
02,Level 2 & 3,30 & Below,89.77,90.75,91.54,2024Q3
02,Level 2 & 3,>30 - 100,77.77,90.74,91.50,2024Q3
02,Level 2 & 3,>100 - 300,78.76,78.95,98.79,2024Q3
02,Level 1,30 & Below,131.82,140.11,150.00,2024Q4
02,Level 1,>30 - 100,120.40,168.50,176.14,2024Q4
02,Level 1,>100 - 300,80.70,102.28,107.14,2024Q4
02,Level 2 & 3,30 & Below,91.50,91.50,91.67,2024Q4
02,Level 2 & 3,>30 - 100,93.21,96.87,110.30,2024Q4
02,Level 2 & 3,>100 - 300,75.32,86.74,123.75,2024Q4
02,Level 4 & Above,>30 - 100,67.05,75.74,141.22,2024Q4
02,Level 1,30 & Below,107.10,123.81,152.13,2025Q1
02,Level 1,>30 - 100,35.59,36.51,117.82,2025Q1
02,Level 1,>100 - 300,89.32,102.26,102.27,2025Q1
02,Level 2 & 3,30 & Below,89.06,91.50,96.33,2025Q1
02,Level 2 & 3,>30 - 100,79.12,91.49,96.07,2025Q1
02,B1 & Below,30 & Below,386.70,483.20,487.35,2025Q2
02,B1 & Below,>30 - 100,217.98,241.54,288.55,2025Q2
02,Level 1,30 & Below,121.90,150.00,270.97,2025Q2
02,Level 1,>30 - 100,100.45,142.97,186.50,2025Q2
02,Level 2 & 3,30 & Below,91.50,91.50,91.67,2025Q2
02,Level 2 & 3,>30 - 100,92.85,94.72,94.73,2025Q2
03,B1 & Below,>30 - 100,58.90,75.06,316.10,2021Q1
03,Level 1,30 & Below,53.46,63.33,155.79,2021Q1
03,Level 1,>30 - 100,77.54,118.87,244.23,2021Q1
03,Level 2 & 3,30 & Below,59.50,74.17,96.13,2021Q1
03,Level 2 & 3,>30 - 100,80.72,115.76,197.33,2021Q1
03,Level 2 & 3,>100 - 300,140.15,159.58,170.82,2021Q1
03,B1 & Below,30 & Below,366.73,380.58,423.46,2021Q2
03,Level 1,30 & Below,93.33,112.00,199.80,2021Q2
03,Level 1,>30 - 100,108.52,131.29,147.55,2021Q2
03,Level 2 & 3,30 & Below,49.22,64.58,125.96,2021Q2
03,Level 2 & 3,>30 - 100,55.00,61.90,91.55,2021Q2
03,Level 2 & 3,>100 - 300,54.18,67.25,106.20,2021Q2
03,B1 & Below,30 & Below,149.29,246.35,395.12,2021Q3
03,Level 1,30 & Below,101.79,165.79,222.29,2021Q3
03,Level 1,>30 - 100,57.59,102.27,144.65,2021Q3
03,Level 2 & 3,30 & Below,55.00,80.00,104.76,2021Q3
03,Level 2 & 3,>30 - 100,46.07,52.10,57.08,2021Q3
03,Level 2 & 3,>100 - 300,184.19,186.53,223.02,2021Q3
03,Level 1,30 & Below,72.22,90.00,123.81,2021Q4
03,Level 1,>30 - 100,39.94,53.03,56.86,2021Q4
03,Level 1,>100 - 300,53.86,55.71,69.42,2021Q4
03,Level 2 & 3,30 & Below,50.19,60.80,84.74,2021Q4
03,Level 2 & 3,>30 - 100,40.54,62.86,220.79,2021Q4
03,B1 & Below,>30 - 100,309.70,377.15,393.12,2022Q1
03,Level 1,>30 - 100,68.66,176.33,302.58,2022Q1
03,Level 2 & 3,30 & Below,52.78,66.67,77.97,2022Q1
03,Level 2 & 3,>30 - 100,62.68,68.57,147.29,2022Q1
03,Level 2 & 3,>300,39.72,45.75,86.73,2022Q1
03,B1 & Below,30 & Below,289.20,352.44,363.64,2022Q2
03,B1 & Below,>30 - 100,100.40,237.38,367.24,2022Q2
03,B1 & Below,>100 - 300,91.49,149.61,156.59,2022Q2
03,Level 1,30 & Below,107.14,140.91,146.67,2022Q2
03,Level 1,>30 - 100,110.91,132.28,288.95,2022Q2
03,Level 1,>100 - 300,53.22,70.34,140.42,2022Q2
03,Level 1,>300,61.23,66.14,79.39,2022Q2
03,Level 2 & 3,30 & Below,50.78,70.50,88.78,2022Q2
03,Level 2 & 3,>30 - 100,92.93,131.91,174.87,2022Q2
03,B1 & Below,30 & Below,136.36,462.06,488.65,2022Q3
03,B1 & Below,>30 - 100,162.27,296.18,375.80,2022Q3
03,Level 1,30 & Below,87.20,149.67,232.92,2022Q3
03,Level 1,>30 - 100,131.39,166.01,222.45,2022Q3
03,Level 1,>100 - 300,153.76,205.31,231.50,2022Q3
03,Level 2 & 3,30 & Below,54.94,67.60,92.68,2022Q3
03,Level 2 & 3,>30 - 100,52.23,62.86,89.49,2022Q3
03,B1 & Below,30 & Below,172.91,193.01,224.51,2022Q4
03,B1 & Below,>30 - 100,100.99,134.17,149.41,2022Q4
03,B1 & Below,>100 - 300,78.79,95.72,143.51,2022Q4
